pdf_company_name,entity_name,normalized_name,address,postcode,address_source,lat,lon,coord_precision
Appleby Fresh Limited,APPLEBY FRESH LIMITED,APPLEBY FRESH LIMITED,"Level 1, 15 Bridge Street, Nelson, Nelson, 7010, NEW ZEALAND",7010,address_for_service,-41.272336631674,173.281903179959,address_web
RELIABLE BUILDER LIMITED,RELIABLE BUILDER LIMITED,RELIABLE BUILDER LIMITED,"Level 2, 86 Lunn Avenue, Mount Wellington, Auckland, 1072, NEW ZEALAND",1072,registered_office,-36.89098089323,174.832521572165,address_web
Enable Networks Limited,ENABLE NETWORKS LIMITED,ENABLE NETWORKS LIMITED,"Level 3, 93 Cambridge Terrace, Christchurch Central, Christchurch, 8013, NEW ZEALAND",8013,public_address,-43.532734584777,172.632252291139,address_web
Qube Logistics Limited,QUBE LOGISTICS LIMITED,QUBE LOGISTICS LIMITED,"Po Box 908, Wellington, Wellington, 6140, NEW ZEALAND",6140,public_address,-41.284893524,174.776100466,address_web
Pure Wagyu Gourmet Meats Limited,PURE WAGYU GOURMET MEATS LIMITED,PURE WAGYU GOURMET MEATS LIMITED,"114b Bryant Rd, Karaka, 2580, NEW ZEALAND",2580,address_for_service,-37.082006729712,174.841830430013,address_web
Vintech Pacific Limited,VINTECH PACIFIC LIMITED,VINTECH PACIFIC LIMITED,"71 Hansen Road, Gisborne, 4071, NEW ZEALAND",4071,address_for_service,-38.633780734909,177.98434238787,address_web
Kwongson Foods & Trading Limited,KWONGSON FOODS & TRADING LIMITED,KWONGSON FOODS TRADING LIMITED,"22 Alderman Place, Mangere, Auckland, 2024, NEW ZEALAND",2024,public_address,-36.955752301475,174.833891175144,address_web
Olympus New Zealand Limited,OLYMPUS NEW ZEALAND LIMITED,OLYMPUS NEW ZEALAND LIMITED,"28 Corinthian Drive, Albany, Auckland, 0632, AUSTRALIA",0632,public_address,-36.730605748822,174.713419505727,address_web
Taupo Painting Services Limited,TAUPO PAINTING SERVICES LIMITED,TAUPO PAINTING SERVICES LIMITED,"Kaimanawa House, 74 Kaimanawa Street, Taupo, 3330, NEW ZEALAND",3330,address_for_service,-38.685426543786,176.078137343786,address_web
Sangao Future Limited,SANGAO FUTURE LIMITED,SANGAO FUTURE LIMITED,"272 Redoubt Road, Totara Park, Auckland, 2019, NEW ZEALAND",2019,address_for_service,-36.993290696756,174.917861248794,original
LUXOTTICA RETAIL NEW ZEALAND LIMITED,LUXOTTICA RETAIL NEW ZEALAND LIMITED,LUXOTTICA RETAIL NEW ZEALAND LIMITED,"Deloitte Centre, Level 5, 1 Queen Street, Auckland, 1010, NEW ZEALAND",1010,address_for_service,-36.843475325426,174.766886744074,address_web
